"coniungō coniungere coniūnxī coniūnctus","to join together, unite",4,Verb
"contemnō contemnere contempsī contemptus","to despise, scorn, hold in contempt",4,Verb
"Cūriō Cūriōnis {m.}","Curio (a Roman name)",4,Noun
"dēdūcō dēdūcere dēdūxī dēductus","to lead down, lead away, escort",4,Verb
"deinde {or} dein","then, next, afterwards",4,Adverb
"dēlīberō dēlīberāre dēlīberāvī dēlīberātus","to consider, deliberate",4,Verb
"dēnique","finally, at last",4,Adverb
"diadēma diadēmatis {n.}","diadem, crown",4,Noun
"dīlēctus dīlēctūs {m.}","levy, draft, selection",4,Noun
"discō discere didicī","to learn",4,Verb
"eō īre iī {/} īvī itum","to go",4,Verb
"ēripiō ēripere ēripuī ēreptus","to snatch away, rescue",4,Verb
"etenim","for, and in fact",4,Conjunction
"etiamsī","even if, although",4,Conjunction
"exeō exīre exīvī {/} exiī exitus","to go out, exit",4,Verb
"familia familiae {f.}","family, household",4,Noun
"Gallus Gallī {m.}","a Gaul (an inhabitant of ancient Gaul)",4,Noun
"gēns gentis {f.}","tribe, clan, nation",4,Noun
"Graecus (Grāius) Graeca Graecum","Greek",4,Adjective
"honestās honestātis {f.}","honor, integrity, respectability",4,Noun
"hortor hortārī hortātus sum","to urge, encourage, exhort",4,Verb
"imperō imperāre imperāvī imperātus","to command, order, rule (+ dative)",4,Verb
"incitō incitāre incitāvī incitātus","to urge on, arouse, incite",4,Verb
"ingenium ingeniī {n.}","nature, character, talent",4,Noun
"inquam inquis inquit inquiunt","I say, you say, he/she says, they say",4,Verb
"intercessiō intercessiōnis {f.}","veto, intervention",4,Noun
"levis leve","light, trivial, fickle",4,Adjective
"Lūcullus Lūcullī {m.}","Lucullus (a Roman general)",4,Noun
"magistrātus magistrātūs {m.}","magistrate, public office",4,Noun
"memoria memoriae {f.}","memory, recollection",4,Noun
"mīror mīrārī mīrātus sum","to wonder at, admire",4,Verb
"multō","by much, greatly",4,Adverb
"nōmen nōminis {n.}","name, title",4,Noun
"nōtus nōta nōtum","known, familiar",4,Adjective
"occupō occupāre occupāvī occupātus","to seize, occupy",4,Verb
"ōrnō ōrnāre ōrnāvī ōrnātus","to equip, adorn, decorate",4,Verb
"paenitet paenitēre paenituit","it causes regret, it displeases",4,Verb
"partim","partly, in part",4,Adverb
"perfectus perfecta perfectum","complete, perfect, finished",4,Adjective
"Petrēius Petrēiī {m.}","Petreius (a Roman name)",4,Noun
"philosophia philosophiae {f.}","philosophy",4,Noun
"philosophus philosophī {m.}","philosopher",4,Noun
"placeō placēre placuī placitum","to please, be pleasing to (+ dative)",4,Verb
"plēnus plēna plēnum","full, full of (+ genitive or ablative)",4,Adjective
"pōnō pōnere posuī positus","to put, place, set",4,Verb
"posteā","afterwards, later",4,Adverb
"postulō postulāre postulāvī postulātus","to demand, ask for, claim",4,Verb
"potius","rather, preferably",4,Adverb
"prīstinus prīstina prīstinum","former, original, pristine",4,Adjective
"proptereā quod","because",4,Conjunction
"quaerō quaerere quaesiī {/} quaesīvī quaesītus","to seek, ask, inquire",4,Verb
"quantus quanta quantum","how great, how much; as great as",4,Adjective
"quasi","as if, just as, as it were",4,Adverb
"queror querī questus sum","to complain, protest",4,Verb
"quīn","why not?, that not, but that",4,Conjunction
"Quirītēs Quirītium {m. pl.}","citizens of Rome, Quirites",4,Noun
"quisquam quicquam","anyone, anything (after a negative)",4,Pronoun
"restituō restituere restituī restitūtus","to restore, give back",4,Verb
"retineō retinēre retinuī retentus","to hold back, retain, keep",4,Verb
"revertor revertī reversus sum","to turn back, return",4,Verb
"sapientia sapientiae {f.}","wisdom",4,Noun
"scrībō scrībere scrīpsī scrīptus","to write",4,Verb
"simul","at the same time, together",4,Adverb
"spatium spatiī {n.}","space, room, period of time",4,Noun
"spērō spērāre spērāvī spērātus","hope, expect",4,Verb
"tam","so, so much, to such a degree",4,Adverb
"tueor tuērī tūtus sum","to watch, protect, look at",4,Verb
"turpis turpe","ugly, shameful, disgraceful",4,Adjective
"vetus veteris","old, ancient",4,Adjective
"violō violāre violāvī violātus","to violate, dishonor, harm",4,Verb
"vocō vocāre vocāvī vocātus","to call, summon",4,Verb
"abdūcō abdūcere abdūxī abductus","to lead away, carry off",3,Verb
"abiciō abicere abiēcī abiectum","to throw away, cast down",3,Verb
"addūcō addūcere addūxī adductus","lead towards; induce, influence",3,Verb
"adiungō adiungere adiūnxī adiūnctus","to join to, add",3,Verb
"adsum adesse adfuī adfutūrus","to be present, be near",3,Verb
"aes aeris {n.}","bronze, money",3,Noun
"Allobrox Allobrogis","an Allobrogian (a member of a Gallic tribe)",3,Noun
"amor amōris {m.}","love",3,Noun
"appāreō appārēre appāruī appāritus","to appear, become visible",3,Verb
"aptus apta aptum","fit, suitable, appropriate",3,Adjective
"Calidius Calidiī {m.}","Calidius (a Roman name)",3,Noun
"Cassius Cassiī {m.}","Cassius (a Roman name)",3,Noun
"cāsus cāsūs {m.}","fall, chance, misfortune",3,Noun
"circiter","around, about, approximately",3,Adverb
"clārus clāra clārum","clear, bright, famous",3,Adjective
"Clōdius Clōdiī {m.}","Clodius (a Roman name)",3,Noun
"collēga collēgae {m.}","colleague, associate",3,Noun
"colloquium colloquiī {n.}","conversation, conference",3,Noun
"conciliō conciliāre conciliāvī conciliātus","acquire, unite, win over",3,Verb
"condiciō condiciōnis {f.}","condition, term, agreement",3,Noun
"cōnsulō cōnsulere cōnsuluī cōnsultum","to consult, ask for advice",3,Verb
"contentiō contentiōnis {f.}","struggle, dispute, contest",3,Noun
"culpa culpae {f.}","fault, blame, guilt",3,Noun
"cupiō cupere cupiī {/} cupīvī cupītus","to desire, want, long for",3,Verb
"cursus cursūs {m.}","course, running, journey",3,Noun
"decem {;} decimus decima decimum","ten; tenth",3,Numeral
"dēferō dēferre dētulī dēlātus","to carry down, report, offer",3,Verb
"dēfīniō dēfīnīre dēfīnīvī {/} dēfīniī dēfīnītus","to define, limit, determine",3,Verb
"dēlīberātiō dēlīberātiōnis {f.}","deliberation, consideration",3,Noun
"dēsīderō dēsīderāre dēsīderāvī dēsīderātus","to long for, desire, miss",3,Verb
"dētrahō dētrahere dētrāxī dētractum","to drag off, pull down, remove",3,Verb
"dētrīmentum dētrīmentī {n.}","loss, damage, harm",3,Noun
"differō differre distulī dīlātus","to differ, be different; postpone",3,Verb
"disciplīna disciplīnae {f.}","discipline, training, instruction",3,Noun
"distrahō distrahere distrāxī distractum","to pull apart, separate, divide",3,Verb
"dīvīnus dīvīna dīvīnum","divine, godlike",3,Adjective
"doleō dolēre doluī dolitus","to grieve, suffer, feel pain",3,Verb
"dubitō dubitāre dubitāvī dubitātus","to doubt, hesitate",3,Verb
"dubius dubia dubium","doubtful, uncertain",3,Adjective
"dum","while, until",3,Conjunction
"equidem","indeed, for my part, certainly",3,Adverb
"ergō","therefore",3,Conjunction
"exigō exigere exēgī exāctus","to drive out, demand, require",3,Verb
"fateor fatērī fassus sum","to confess, admit, acknowledge",3,Verb
"ferē","almost, approximately",3,Adverb
"fīnitimus fīnitima fīnitimum","bordering upon, adjoining, neighboring",3,Adjective
"fīrmus fīrma fīrmum","strong, firm, reliable",3,Adjective
"flāgitium flāgitiī {n.}","shameful act, disgrace, outrage",3,Noun
"forēnsis forēnsis forēnse","of the forum, public, forensic",3,Adjective
"forte","by chance",3,Adverb
"forum forī {n.}","forum, marketplace, public square",3,Noun
"frūmentum frūmentī {n.}","grain",3,Noun
"Garumna Garumnae {f.}","the Garonne river",3,Noun
"Genava Genavae {f.}","Geneva",3,Noun
"Germānus {(Germānicus)} Germāna Germānum","German",3,Adjective
"gladius gladiī {m. or} gladium gladiī {n.}","sword",3,Noun
"hodiernus hodierna hodiernum","of today, today's",3,Adjective
"hūmānitās hūmānitātis {f.}","humanity, culture, civilization, refinement",3,Noun
"hūmānus hūmāna hūmānum","human, humane, refined",3,Adjective
"iaceō iacēre iacuī","to lie, be situated",3,Verb
"ibi","there, in that place",3,Adverb
"impediō impedīre impedīvī {/} impediī impedītus","to hinder, obstruct, impede",3,Verb
"incolō incolere incoluī","to inhabit, dwell in",3,Verb
"inde","from there, then, next",3,Adverb
