Form,Lemma,Definition
erāmus,"sum esse fuī futūrus",we were
erātis,"sum esse fuī futūrus",y'all were
erant,"sum esse fuī futūrus",they were
erō,"sum esse fuī futūrus",I will be
eris,"sum esse fuī futūrus",you will be
erit,"sum esse fuī futūrus",he/she/it will be
erimus,"sum esse fuī futūrus",we will be
eritis,"sum esse fuī futūrus",y'all will be
erunt,"sum esse fuī futūrus",they will be
fuī,"sum esse fuī futūrus",I have been / I was
fuistī,"sum esse fuī futūrus",you have been / you were
fuit,"sum esse fuī futūrus",he/she/it has been / was
fuimus,"sum esse fuī futūrus",we have been / were
fuistis,"sum esse fuī futūrus",y'all have been / were
fuērunt,"sum esse fuī futūrus",they have been / were
fueram,"sum esse fuī futūrus",I had been
fuerās,"sum esse fuī futūrus",you had been
fuerat,"sum esse fuī futūrus",he/she/it had been
fuerāmus,"sum esse fuī futūrus",we had been
fuerātis,"sum esse fuī futūrus",y'all had been
fuerant,"sum esse fuī futūrus",they had been
fuerō,"sum esse fuī futūrus",I will have been
fueris,"sum esse fuī futūrus",you will have been
fuerit,"sum esse fuī futūrus",he/she/it will have been
fuerimus,"sum esse fuī futūrus",we will have been
fueritis,"sum esse fuī futūrus",y'all will have been
fuerint,"sum esse fuī futūrus",they will have been (or perf subj)
sim,"sum esse fuī futūrus",I may be (pres subj)
sīs,"sum esse fuī futūrus",you may be (pres subj)
sit,"sum esse fuī futūrus",he/she/it may be (pres subj)
sīmus,"sum esse fuī futūrus",we may be (pres subj)
sītis,"sum esse fuī futūrus",y'all may be (pres subj)
sint,"sum esse fuī futūrus",they may be (pres subj)
essem,"sum esse fuī futūrus",I might be (impf subj)
essēs,"sum esse fuī futūrus",you might be (impf subj)
esset,"sum esse fuī futūrus",he/she/it might be (impf subj)
essēmus,"sum esse fuī futūrus",we might be (impf subj)
essētis,"sum esse fuī futūrus",y'all might be (impf subj)
essent,"sum esse fuī futūrus",they might be (impf subj)
fuissem,"sum esse fuī futūrus",I might have been (plupf subj)
fuissēs,"sum esse fuī futūrus",you might have been (plupf subj)
fuisset,"sum esse fuī futūrus",he/she/it might have been (plupf subj)
fuissēmus,"sum esse fuī futūrus",we might have been (plupf subj)
fuissētis,"sum esse fuī futūrus",y'all might have been (plupf subj)
fuissent,"sum esse fuī futūrus",they might have been (plupf subj)
esse,"sum esse fuī futūrus",to be
fuisse,"sum esse fuī futūrus",to have been
fore,"sum esse fuī futūrus",to be about to be (fut infin)
futūrus,"sum esse fuī futūrus",about to be
eiusdem,"īdem eadem idem",of the same / his same / her same
eīdem,"īdem eadem idem",to/for the same (dat sg) OR the same (masc nom pl)
eundem,"īdem eadem idem",the same (masc acc)
eandem,"īdem eadem idem",the same (fem acc)
eōdem,"īdem eadem idem",by/with/from the same (masc/neut abl)
eādem,"īdem eadem idem",by/with/from the same (fem abl)
iīdem,"īdem eadem idem",the same (masc nom pl)
eaedem,"īdem eadem idem",the same (fem nom pl)
eōrundem,"īdem eadem idem",of the same (masc/neut gen pl)
eārundem,"īdem eadem idem",of the same (fem gen pl)
eōsdem,"īdem eadem idem",the same (masc acc pl)
eāsdem,"īdem eadem idem",the same (fem acc pl)
eīsdem,"īdem eadem idem",to/for/by/with/from the same (dat/abl)
iīsdem,"īdem eadem idem",to/for/by/with/from the same (dat/abl)
cuiusdam,"quīdam quaedam quoddam",of a certain / whose
cuidam,"quīdam quaedam quoddam",to/for a certain
quendam,"quīdam quaedam quoddam",a certain (masc acc)
quandam,"quīdam quaedam quoddam",a certain (fem acc)
quōdam,"quīdam quaedam quoddam",by/with/from a certain (masc/neut abl)
quādam,"quīdam quaedam quoddam",by/with/from a certain (fem abl)
quōrundam,"quīdam quaedam quoddam",of certain (masc/neut gen pl)
quārundam,"quīdam quaedam quoddam",of certain (fem gen pl)
quibusdam,"quīdam quaedam quoddam",to/for/by/with/from certain (dat/abl)
quōsdam,"quīdam quaedam quoddam",certain (masc acc pl)
quāsdam,"quīdam quaedam quoddam",certain (fem acc pl)
quiddam,"quīdam quaedam quoddam",a certain thing (neut nom/acc)
cuiuslibet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",of anyone/anything you please
cuilibet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",to/for anyone/anything you please
quemlibet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",anyone you please (masc acc)
quamlibet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",anyone you please (fem acc)
quōlibet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",by/with/from anyone/anything you please (masc/neut abl)
quālibet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",by/with/from anyone you please (fem abl)
quōrumlibet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",of any you please (masc/neut gen pl)
quārumlibet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",of any you please (fem gen pl)
quibuslibet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",to/for/by/with/from any you please (dat/abl)
quōslibet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",any you please (masc acc pl)
quāslibet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",any you please (fem acc pl)
quidlibet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",anything you please (neut nom/acc)
cuiuslubet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",of anyone/anything you please
cuilubet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",to/for anyone/anything you please
quemlubet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",anyone you please (masc acc)
quamlubet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",anyone you please (fem acc)
quōlubet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",by/with/from anyone/anything you please (masc/neut abl)
quālubet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",by/with/from anyone you please (fem abl)
quōrumlubet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",of any you please (masc/neut gen pl)
quārumlubet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",of any you please (fem gen pl)
quibuslubet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",to/for/by/with/from any you please (dat/abl)
quōslubet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",any you please (masc acc pl)
quāslubet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",any you please (fem acc pl)
quidlubet,"quīlibet quaelibet quodlibet ({or} quīlubet, {etc.})",anything you please (neut nom/acc)
